Etat,Num,N,p,maxallele,dp,dg,a,s,h,sl,hl,th,gamma,U,i,pas,seuil,Usi,Usc,Une,mUsc,menage,L,g1,g2,g3,p12,p3,sam,neutres
*,1,10000,10,1000,0.1,0,0,0.05,0.2,0,0,0,0.5,0,10,0.7,0.05,0.00001,0.0001,0.001,1,0,10,10000,10000,200000,200,200,1000,1
*,2,10000,10,1000,0.1,0,0,0.05,0.2,0,0,0,0.5,0,11,-0.2,0.05,0.00001,0.0001,0.001,1,0,10,10000,10000,200000,200,200,1000,1
